date_scraped,source,source_id,ad_url,ad_title,record_id,make_orig,model_orig,model_orig_details,model_orig_variant,price,currency,mileage,mileage_unit,production_year,chassis_no,engine_no,body_no,condition,color_exterior,color_interior,notes,country,region,bodystyle,engine,transmission,drive_type,gears,driver_side,auction_house,auction_event,fuel,kw,hp,cylinders_volume,cylinders_number,seats,doors,weight,options
,,21201540,https://www.autoscout24.com/offers/ferrari-400-i-targhe-e-documenti-originali-uniproprietario-gasoline-grey-7d2c9387-c414-469a-a35e-2c8f52bde0fa,Ferrari 400 i *TARGHE E DOCUMENTI ORIGINALI* *UNIPROPRIETARIO*,,ferrari,400,,,93990,,"113,000 km",,07/1983,,,,Antique / Classic,Grigio,,Metallic,,,Compact,,Manual,Rear,5,,,,,217 kW (295 hp),295,"4,824 cc",12,4,2,"1,942 kg",Alloy wheels
,,21186565,https://www.autoscout24.com/offers/porsche-911-996-carrera-4-cat-coupe-body-kit-originale-gt3-gasoline-black-b4506431-c21d-4589-bfb7-316841542224,Porsche 911 996 Carrera 4 cat Coupé #Body-Kit Originale GT3,,porsche,911,,,34800,,"83,400 km",,10/1999,,,,Used,Nero,Full leather,Others,,,Coupe,,Manual,4WD,6,,,,,221 kW (300 hp),300,"3,387 cc",6,4,2,"1,450 kg",Alloy wheels
,,526dd2ea-d51f-40f4-b97e-56db7b46f24a,https://www.autoscout24.com/offers/porsche-911-996-carrera-4s-manual-recaro-belgian-gasoline-silver-dee4306f-5eea-466b-880c-bdf737d4c14a,Porsche 911 996 CARRERA 4S *** MANUAL / RECARO / BELGIAN ***,,porsche,911,,,54950,,"179,435 km",,08/2002,,,,Used,Arctic Silver,Part leather,Metallic,,,Coupe,,Manual,4WD,6,,,,,235 kW (320 hp),320,"3,596 cc",6,4,2,"1,430 kg",Alloy wheelsSpoilerSport packageSport seatsSport suspension
,,,https://www.autoscout24.com/offers/land-rover-series-a-h-zulassung-motor-ueberholt-softtop-gasoline-406344b8-12d5-4c34-b08a-4342f5564d47,Land Rover Series A H-Zulassung Motor überholt Softtop,,land rover,series,,,29900,,"92,695 km",,07/1962,,,,Used,,,New,,,Off-Road/Pick-up,,Manual,,,,,,,51 kW (69 hp),69,"2,236 cc",,,,,
,,,https://www.autoscout24.com/offers/mercedes-benz-sl-500-sl65-amg-black-series-gasoline-black-a9cffcd4-8172-4d33-a3ec-4dd2fa5df749,Mercedes-Benz SL 500 / SL65 AMG Black Series,,mercedes-benz,sl 500,,,42900,,"148,000 km",,10/2001,,,,Used,OBSIDIANSCHWARZ - METALLICLACK,Full leather,Metallic,Germany,,Convertible,,Automatic,,,,,,,225 kW (306 hp),306,"4,966 cc",,2,2,,Alloy wheelsAmbient lightingAutomatically dimming interior mirrorHeadlight washer systemSmoker's packageSummer tyresVoice ControlWinter package
,,,https://www.autoscout24.com/offers/mercedes-benz-sl-560-cabrio-soft-top-hard-top-gasoline-red-3557a64c-714b-4555-b8f0-906e53bdb048,Mercedes-Benz SL 560 Cabrio-Soft top-Hard Top,,mercedes-benz,sl 560,,,27251,,"99,000 km",,02/1987,,,,Used,Red,Full leather,Metallic,,,Convertible,,Automatic,,,,,,,230 kW (313 hp),313,"5,547 cc",8,,2,"1,569 kg",Central door lock
,,,https://www.autoscout24.com/offers/chevrolet-blazer-6-2-k5-frame-off-restauriert-k30-achsen-diesel-grey-9e0f8603-b82c-44e5-9019-fbeaeec72fb1,"Chevrolet Blazer 6,2 K5 -frame off restauriert-K30 Achsen-",,chevrolet,blazer,,,39990,,"72,000 km",,11/1984,,,,Antique / Classic,Stumpf-matt,Cloth,Yes,United States,,Off-Road/Pick-up,,Automatic,,,,,,,96 kW (131 hp),131,"6,174 cc",8,,2,,Summer tyres
,,,https://www.autoscout24.com/offers/bmw-2002-tii-gasoline-e9007091-a6a8-419c-9320-f22b10195033,BMW 2002 tii,,bmw,2002,,,38950,,"74,000 km",,04/1974,,,,Used,,,,,,Coupe,,,,,,,,,,,,,,,,
,,,https://www.autoscout24.com/offers/ferrari-512-bbi-top-zustand-zegna-serviceheft-zr-neu-pion-gasoline-red-d284e729-eb09-4f2a-806f-b984d6f0f45e,Ferrari 512 BBi/Top Zustand/Zegna/Serviceheft/ZR neu!Pion,,ferrari,512,,,239000,,"44,700 km",,04/1982,,,,Used,Rosso Corsa,Part leather,Yes,Switzerland,,Coupe,,Manual,,,,,,,250 kW (340 hp),340,"4,909 cc",12,2,2,,Alloy wheelsSport seatsSport suspensionSummer tyres
,,,https://www.autoscout24.com/offers/bmw-others-3200-cs-coupe-bertone-mit-stahlschiebedach-gasoline-grey-eec07b6d-fbd8-450c-8c9a-e227a29c13c5,BMW 3200 CS Coupé Bertone mit Stahlschiebedach,,bmw,unknown,,,115000,,"80,754 km",,11/1965,,,,Antique / Classic,Steingrau,Full leather,Yes,Germany,,Coupe,,Manual,,,,,,,118 kW (160 hp),160,"3,146 cc",8,5,2,,Fog lights
,,85,https://www.autoscout24.com/offers/bmw-z3-roadster-schnitzer-klima-leder-sportsitz-tuev-gasoline-silver-74eed5b0-bef6-4de2-bf47-82789d44ce9e,BMW Z3 ROADSTER SCHNITZER KLIMA+LEDER+SPORTSITZ+TÜV+,,bmw,z3,,,23890,,"47,100 km",,07/2000,,,,Used,Titansilber,Full leather,Metallic,,,Convertible,,Manual,Rear,5,,,,,110 kW (150 hp),150,"1,991 cc",6,2,2,"1,345 kg",Alloy wheelsCatalytic ConverterSport seatsSport suspension
